1;3;6;2;1;6;1;6;3;1;1
2;5;6;3;6;0;3;9;6;0;4
3;3;2;0;1;4;1;7;4;1;5
4;1;4;0;5;3;3;3;1;2;5
5;0;6;3;2;8;2;8;3;1;4
6;6;2;5;2;2;4;11;3;3;4
7;6;6;5;4;3;1;8;1;3;3
8;0;4;1;5;6;3;0;3;3;0
9;3;0;0;5;0;3;7;2;0;1
10;5;5;7;7;3;2;4;3;3;4
11;0;6;3;7;5;4;11;5;1;2
12;1;5;4;1;2;0;6;6;0;3
13;1;2;7;5;3;2;10;4;0;5
14;6;1;6;1;4;3;2;5;0;2
15;4;2;5;4;3;3;3;4;3;5
16;4;0;0;5;9;3;1;5;2;4
17;0;4;8;5;7;4;7;4;3;4
18;3;3;6;4;9;4;1;0;1;1
19;6;6;7;2;0;4;4;1;2;2
20;6;3;6;4;0;0;9;0;0;1
21;4;1;5;2;2;2;7;0;2;5
22;3;1;5;6;6;0;11;3;1;3
23;1;2;7;3;7;1;6;6;2;4
24;6;0;7;0;7;1;6;6;2;4
25;0;6;3;0;7;1;5;2;2;3
26;3;0;7;1;0;2;9;4;0;0
27;2;2;3;7;2;0;11;5;0;2
28;1;5;5;7;4;2;0;6;2;4
29;0;6;1;3;7;2;5;3;3;5
30;0;1;4;0;9;2;8;0;0;4
31;3;3;5;7;6;0;1;0;2;3
32;0;3;2;3;6;0;3;2;3;1
33;2;6;0;5;5;3;6;0;0;2
34;4;1;4;1;4;3;10;6;2;5
35;1;0;2;5;2;3;3;1;1;2
36;2;3;8;7;9;4;10;2;3;5
37;3;5;8;6;8;3;6;3;2;4
38;1;4;1;1;0;0;6;6;0;4
39;0;2;1;1;4;2;10;4;1;3
40;5;3;4;4;7;2;8;6;0;1
41;6;2;3;1;2;2;9;6;2;2
42;3;4;6;0;6;2;6;0;1;1
43;3;0;2;0;9;2;9;6;1;2
44;6;1;3;7;5;1;3;5;2;2
45;0;4;1;0;2;3;1;3;0;5
46;3;4;5;2;0;3;1;0;1;1
47;6;1;4;5;1;1;5;6;1;3
48;4;6;3;1;6;0;10;1;2;3
49;3;4;4;0;3;2;7;1;2;0
50;6;2;7;0;3;1;2;3;1;0
51;1;1;7;3;4;1;7;5;1;0
52;4;4;2;2;4;1;10;1;3;3
53;2;4;3;7;8;4;7;6;3;1
54;3;0;8;4;5;2;10;1;2;5
55;0;1;6;5;3;3;6;0;3;3
56;1;5;7;6;7;3;3;6;0;5
57;0;6;2;0;6;4;1;0;0;3
58;6;5;0;0;8;1;5;3;3;3
59;1;4;5;6;4;4;9;6;3;0
60;4;2;2;4;0;4;2;1;0;3
61;0;0;3;3;4;1;8;4;0;4
62;3;4;8;6;7;4;11;3;1;5
63;1;2;8;3;6;0;8;4;1;1
64;2;3;0;6;6;3;7;0;2;4
65;6;4;4;0;4;2;0;6;2;0
66;0;5;3;7;6;1;2;5;2;0
67;1;6;0;6;8;3;10;1;3;0
68;4;1;1;0;4;0;2;5;1;0
69;4;0;3;5;2;1;2;0;1;4
70;1;4;1;4;7;0;8;6;1;0
71;5;2;6;5;7;4;0;6;3;3
72;2;3;0;1;5;4;5;3;3;5
73;3;1;0;4;4;2;9;6;0;1
74;4;3;0;3;2;1;6;6;3;4
75;4;0;6;3;8;1;9;0;0;4
76;1;1;7;0;3;3;8;3;1;2
77;6;6;7;7;7;0;5;3;2;1
78;4;3;1;3;7;2;4;3;1;5
79;1;1;7;1;7;0;8;4;1;4
80;3;5;2;4;1;1;1;2;2;5
