1;5,30;4,00
2;7,50;4,40
3;11,20;5,00
4;1,90;6,20
5;5,40;3,20
6;14,10;2,60
7;2,30;4,80
8;6,80;2,20
9;10,90;3,40
10;9,30;3,40
11;11,10;4,20
12;8,70;6,20
13;5,90;5,80
14;7,00;3,20
15;8,80;2,20
16;10,80;4,20
17;2,40;1,20
18;6,90;2,20
19;11,00;5,00
20;14,80;4,20
21;1,60;6,00
22;8,10;2,20
23;13,90;1,20
24;5,90;6,00
25;7,90;3,00
26;2,50;6,20
27;13,80;6,20
28;9,10;1,80
29;13,80;5,60
30;11,50;2,20
31;5,20;6,20
32;4,10;4,60
33;11,30;3,00
34;9,20;6,40
35;5,30;4,60
36;12,60;1,80
37;9,30;5,60
38;6,60;3,00
39;5,00;1,20
40;7,90;2,40
41;3,80;1,40
42;3,70;4,80
43;14,20;3,00
44;3,40;2,00
45;13,60;1,00
46;4,90;3,00
47;14,20;4,60
48;14,40;6,20
49;4,50;3,00
50;4,90;4,80
51;6,10;4,20
52;4,60;6,40
53;5,50;4,20
54;6,60;3,40
55;8,20;2,80
56;7,30;5,20
57;10,20;5,80
58;8,40;2,40
59;7,90;2,40
60;2,80;5,00
61;2,40;5,40
62;7,90;4,20
63;10,00;4,80
64;7,90;2,60
65;8,60;1,60
66;10,30;5,80
67;5,30;5,40
68;5,70;2,80
69;4,90;4,00
70;10,70;3,60
71;11,00;4,00
72;5,80;5,20
73;3,80;5,20
74;14,50;3,20
75;7,60;4,00
76;12,50;5,20
77;4,80;1,00
78;4,10;6,40
79;5,50;5,20
80;3,50;4,20
